instance_id,raw_pred_speedup_ratio,pred_speedup_ratio,gold_speedup_ratio,human_speedup_ratio,correctness,correctness_pct,pre_edit_runtime
pandas-dev__pandas-52672,1.424486977735268,1.424486977735268,1.1692360848205894,1.218305692262179,1.0,1.0,5.6497994010002
pandas-dev__pandas-52836,4.489068811221893,4.489068811221893,4.237758872634781,1.059302557351703,1.0,1.0,1.9120064167002055
pandas-dev__pandas-53088,5.694836944178829,5.694836944178829,2.520773726109576,2.2591622902099697,1.0,1.0,2.3168598932998066
pandas-dev__pandas-53152,2.179387343134733,2.179387343134733,1.456594145648793,1.4962214077580236,1.0,1.0,0.1632264328859892
pandas-dev__pandas-53731,1.0211287119681316,1.0211287119681316,1.2254006585640598,0.8333019121800566,1.0,1.0,4.555065508199959
pandas-dev__pandas-54299,0.9948115665301269,0.9948115665301269,2.528422749457449,0.39345143795419274,1.0,1.0,0.4127390836598897
pandas-dev__pandas-55084,0.9990311335802774,0.9990311335802774,1.1847310702804226,0.8432556203188032,1.0,1.0,0.8642433085799894
pandas-dev__pandas-56089,5.866593810579825,5.866593810579825,5.110775257552349,1.1478872607263606,1.0,1.0,0.15098804755999481
pandas-dev__pandas-56110,12.931564376832656,12.931564376832656,6.943478675849716,1.8624042760886195,1.0,1.0,0.2343664722399626
pandas-dev__pandas-56128,60.85251502259852,60.85251502259852,63.28435210152389,0.9615728533488958,1.0,1.0,5.662285172599695
pandas-dev__pandas-56345,4.821969493727471,4.821969493727471,4.984035541551688,0.9674829670709448,1.0,1.0,0.26342676495000433
pandas-dev__pandas-56508,19.47319473214006,19.47319473214006,29.902122045894036,0.6512311969783425,1.0,1.0,0.13614103419802995
pandas-dev__pandas-56806,4.17008196816272,4.17008196816272,4.74601132997706,0.8786498131227336,1.0,1.0,0.0035367658580034915
pandas-dev__pandas-57459,0.956825565204601,0.956825565204601,1.8669119108079237,0.5125177892247341,1.0,1.0,0.08350430761001917
pandas-dev__pandas-57479,0.9885749899881247,0.9885749899881247,1.8923895836047684,0.5223950705250721,1.0,1.0,0.28992875756993725
pandas-dev__pandas-57855,3.0135955711688944,3.0135955711688944,2.901400874904712,1.0386691467678926,1.0,1.0,0.009492236530006266
pydata__xarray-5661,417.249194426725,417.249194426725,91.11571453274189,4.579332956630538,1.0,1.0,3.7213392203000693
pydata__xarray-7382,244.70743240135567,244.70743240135567,115.42632750748346,2.1200313454093953,1.0,1.0,0.6241337321199808
pydata__xarray-9001,2.6106201977087395,2.6106201977087395,2.6169359806953794,0.9975865733693028,1.0,1.0,0.09472519270020711
scikit-learn__scikit-learn-15049,41.14386513234162,41.14386513234162,41.59969990984598,0.9890423541878369,1.0,1.0,2.729535797150129
scikit-learn__scikit-learn-17235,3.3934389551294677,3.3934389551294677,4.633128076359262,0.7324293434590418,1.0,1.0,0.2880620485700456
scikit-learn__scikit-learn-9843,6.645742419419401,6.645742419419401,2.1706184447142234,3.061681538550806,1.0,1.0,0.2779453515499972
scipy__scipy-10393,1.5988582887571228,1.5988582887571228,1.567660559364812,1.0199008192213188,1.0,1.0,1.610485601668188e-05
scipy__scipy-10467,5.187180840093063,5.187180840093063,2.9004807618651878,1.7883865696655703,1.0,1.0,0.2622640981200311
scipy__scipy-10939,2.1178109462514,2.1178109462514,2.056162308529452,1.0299823790496572,1.0,1.0,0.07912506984297034
scipy__scipy-11358,41.57453240051009,41.57453240051009,27.329417315469577,1.5212374241501734,1.0,1.0,0.3678224156399756
scipy__scipy-11517,1.1141436388374075,1.1141436388374075,1.522747086981905,0.7316668988319313,1.0,1.0,0.038606815520004605
scipy__scipy-18917,39.507491043026754,39.507491043026754,5.76365136344999,6.8545941715979275,1.0,1.0,0.7310079463198599
scipy__scipy-22660,1.0128842053826326,1.0128842053826326,32.466449076821895,0.031197874549999376,1.0,1.0,24.778814819667485
sympy__sympy-11675,13345.775604833636,13345.775604833636,186.00733835521567,71.74865100938862,1.0,1.0,30.994927107599505
sympy__sympy-15379,2248.7325676581004,2248.7325676581004,131.62839305742017,17.083947584752,1.0,1.0,12.581435456300005
sympy__sympy-16134,9891.321237239972,9891.321237239972,10072.922434194053,0.9819713496117464,1.0,1.0,15.25738812740019
sympy__sympy-20989,2.0778847093014825,2.0778847093014825,4.932821231997121,0.42123657265808157,1.0,1.0,35.28116345019971
sympy__sympy-21391,2.172628480392781,2.172628480392781,2.156942602688631,1.007272274044102,1.0,1.0,3.2866231309000797
